x,y,S34,Fe57,Co59,Ni60,As75,Se77,Au197,Bi209
355.884483,11,541499.1251,417242.0953,1965.552975,3013.290492,3.816580614,331.6617994,0.00331303,0.006393085
359.9286248,11,534485.2216,413934.333,1933.208523,3786.765558,3.816580614,322.780559,0.00331303,0.006393085
363.9727667,11,501469.0194,413934.333,1866.409349,4887.720046,3.816580614,322.780559,0.00331303,0.006393085
368.0169085,11,501469.0194,415395.4019,1866.409349,4887.720046,3.816580614,349.4260563,0.00331303,0.006393085
372.0610504,11,501469.0194,415395.4019,1959.578616,4334.262218,12.73555152,402.7206027,0.00331303,0.006393085
376.1051922,11,556541.3735,460734.2927,1964.806077,3877.264886,12.73555152,402.7206027,0.00331303,0.006393085
380.1493341,11,556541.3735,460734.2927,1964.806077,2864.705536,11.17355527,313.8984305,0.00331303,0.006393085
384.1934759,11,550522.4492,460734.2927,1510.530321,2718.600997,3.816580614,313.8984305,0.00331303,0.006393085
388.2376178,11,510965.3138,447296.1238,1257.43333,2718.600997,6.48769147,349.4260563,0.00331303,0.006393085
392.2817596,11,498971.1012,431242.1887,1084.881235,4106.132404,3.816580614,349.4260563,0.00331303,0.006393085
396.3259015,11,482496.622,447296.1238,1084.881235,5567.169792,3.816580614,340.5439279,0.00331303,0.006393085
400.3700433,11,470029.4296,434228.2002,1171.372284,6148.661151,3.816580614,340.5439279,0.00331303,0.006393085
404.4141852,11,470029.4296,464224.9422,1272.935891,6278.779873,3.816580614,340.5439279,0.00331303,0.006393085
408.458327,11,528976.8768,434228.2002,1652.780323,6322.577695,3.816580614,296.1350617,0.00331303,0.006393085
412.5024689,11,558046.5292,464224.9422,1810.91692,6365.206723,3.816580614,269.4895643,0.00331303,0.006393085
416.5466107,11,528976.8768,460073.1749,2015.39321,6365.206723,8.049687714,269.4895643,0.00331303,0.006393085
420.5907526,11,468035.7763,460073.1749,2015.39321,4594.333808,8.049687714,260.6083239,0.00331303,0.006393085
424.6348944,11,468035.7763,432280.1379,1865.665251,3736.903045,9.611559029,260.6083239,0.00331303,0.006393085
428.6790363,11,512965.4161,432280.1379,1393.403315,3179.365904,23.66965016,260.6083239,0.00331303,1.289326693
432.7231781,11,512965.4161,491865.9417,1318.772493,3179.365904,23.66965016,269.4895643,0.11171633,4.728114912
436.76732,11,512965.4161,491865.9417,1280.690839,3470.54173,15.85954401,278.3716928,1.340642881,11.17811194
440.8114619,11,537490.7251,449724.6226,1280.690839,3697.491508,15.85954401,287.2529332,2.010998954,14.90612079
444.8556037,11,537490.7251,449724.6226,1550.182491,3799.523902,6.48769147,287.2529332,2.010998954,20.06960918
448.8997456,11,569089.5135,449724.6226,1555.572214,3697.491508,23.66965016,278.3716928,2.010998954,24.37396207
452.9438874,11,569089.5135,475600.4463,1555.572214,3799.523902,6.48769147,260.6083239,2.234458426,32.98661015
